restraunt_name,location,contact,dining_ratings,delivery_ratings,menu_name,menu_description,menu_price,menu_rating
Saini Veg Dhaba,"Phagwara Locality, Phagwara",9915542477,3.2,3.9,Sweet Lassi,N/A,46.0,3.5
Saini Veg Dhaba,"Phagwara Locality, Phagwara",9915542477,3.2,3.9,Namkeen Lassi,N/A,46.0,4.1
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Full Thali,Yellow Dal+Rice+2 Chapati+Sabzi [Subject to Availability],175.0,4.2
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Saturday Thali,Channa+Rice+3 Chapati+Sabzi+Salad,149.0,-1
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Special Thali Vart Wali,2 Vrat Wale Chapati+Aloo Sabzi,149.0,-1
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Super Thali,Rice+Daal+Sabzi+2 Roti,131.0,3.7
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Everyday Thali,Dal+3 Chapati+Rice+Sabji [Dal and Sabji-Subject to Availability],133.0,3.9
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Sep Navratri Thali,Rice+2 Roti+Aloo Sabzi+Dahi,225.0,-1
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Aloo Jeera Sabji [Half],Jeera Aloo Is A Typical Vegetarian Indian Dish Which Is Often Served As ...,80.0,-1
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Chana Masala with 1 Butter Naan [Serves 1],N/A,159.0,-1
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Jeera Rice with Chana [Serves 1],N/A,169.0,-1
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Jeera Rice with Dal Makhani [Serves 1],N/A,169.0,-1
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Butter Chicken with 2 Chapati,N/A,169.0,-1
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Butter Chicken with 1 Butter Naan,"2pcs Butter Chicken
+ 1 Butter Naan",169.0,-1
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Clear Soup,N/A,60.0,-1
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Vegetable Soup,N/A,60.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Multi Veg Pizza,N/A,130.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Pepe Paneer Pizza,N/A,150.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Fully Loaded Pizza,N/A,170.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Chicken Salami Pizza,N/A,120.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Chicken Pizza,N/A,140.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Chicken Tikka Pizza,N/A,160.0,-1
The Chef's Secret,"Phagwara Locality, Phagwara",9130700019,-1,4.1,Chicken Fully Loaded Pizza,N/A,200.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Mushroom Do Pyaaza,N/A,190.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Mushroom Matar,N/A,190.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Mushroom Masala,N/A,190.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Malai Kofta,N/A,210.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Gravy Chaap,N/A,210.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Paneer Pasanda,N/A,390.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Aloo Gobi,N/A,210.0,-1
The Mood Changer,"Phagwara Locality, Phagwara",9646190904,3.5,4.1,Rajma,N/A,210.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,Sweet Corn Pizza,N/A,150.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,Baby Corn Pizza,N/A,170.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,Spicy Red Paprika Pizza,N/A,180.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,Paneer Paprika Pizza,N/A,200.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,Station Special Pizza,[Chef's Special],280.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,Veg Tadka Pizza,N/A,250.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,Full Loaded Pizza,N/A,230.0,-1
Pizza Station,"Phagwara Locality, Phagwara",8054548010,-1,3.7,Margherita Pizza,N/A,200.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Kadai Chicken Combo,Chicken with Bone [200 grams]+2 Butter Roti,350.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Butter Chicken Combo,Chicken with Bone [200 grams]+2 Butter Roti,350.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Chicken Do Pyaza Combo,Chicken with Bone [200 grams]+2 Butter Roti,350.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Tandoori Murgh,Yummy and spicy chicken preparation bursting with the flavour of tandoori masala.,300.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Tandoori Murgh Irani,N/A,300.0,-1
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Tandoori Murgh Afghani,Succulent chicken marinated with a rich blend of spices and grilled perfectly.,240.0,2.7
Punjabi Twist,"Phagwara Locality, Phagwara",9855025566,-1,4.0,Tandoori Chicken Tikka,Chicken chunks are marinated in special spices and then grilled on skewers.,280.0,-1
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Jeera Rice,Jeera rice or Zeera rice is an Indian dish consisting of rice and ...,103.0,4.0
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Navratri Special Aloo Sabji [Half],N/A,101.0,-1
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Matar Rice [Half],N/A,114.0,4.6
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Shimla Mirch,N/A,129.0,-1
A One Paratha House,"Phagwara Locality, Phagwara",9888576764,-1,4.3,Mix Veg [Half],N/A,123.0,4.7
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Manchow Soup,N/A,60.0,-1
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Sweet Corn Soup,N/A,80.0,-1
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Hot and Sour Soup,N/A,80.0,-1
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Chicken Clear Soup,N/A,90.0,-1
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Chicken Manchow Soup,N/A,90.0,-1
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Chicken Sweet Corn Soup,N/A,110.0,-1
Param Restaurant's,"Phagwara Locality, Phagwara",9530907676,4.8,4.1,Chicken Hot and Sour Soup,N/A,110.0,-1
